Sample name	Sample group
8971_Liu_Cov_Lysate_32-1-1_S1-A2_1.d	SG1
8973_Liu_Cov_Lysate_32-1-2_S1-A4_1.d	SG1
8975_Liu_Cov_Lysate_32-1-3_S1-A6_1.d	SG1
8977_Liu_Cov_Lysate_32-8-1_S1-A8_1.d	SG2
8979_Liu_Cov_Lysate_32-8-2_S1-A10_1.d	SG2
8981_Liu_Cov_Lysate_32-8-3_S1-A12_1.d	SG2
8983_Liu_Cov_Lysate_32-16-1_S1-B2_1.d	SG3
8985_Liu_Cov_Lysate_32-16-2_S1-B4_1.d	SG3
8987_Liu_Cov_Lysate_32-16-3_S1-B6_1.d	SG3
these_samples_without_sample_group_will_not_be_loaded	
sample_without_sample_group_2	
sample_without_sample_group_3	
